venue	decision	file	licence_at_review	file_page	found_by
Admiralspalast	CONFIRMED	Berlin Admiralspalast asv2023-10 img1.jpg	FAL	https://commons.wikimedia.org/wiki/File:Berlin_Admiralspalast_asv2023-10_img1.jpg	wikidata-p18
Alte Kantine	REJECTED				commons-title
AMT	REJECTED				commons-title
Arcanoa	REJECTED				commons-nearby
Astra Kulturhaus	CONFIRMED	Astra Kulturhaus Berlin Dance Floor.jpg	CC BY 2.0	https://commons.wikimedia.org/wiki/File:Astra_Kulturhaus_Berlin_Dance_Floor.jpg	commons-title
Badehaus	CONFIRMED	Badehaus Nightclub RAW Berlin 2012.jpg	CC BY 2.0	https://commons.wikimedia.org/wiki/File:Badehaus_Nightclub_RAW_Berlin_2012.jpg	commons-title
Bar jeder Vernunft	CONFIRMED	Wilmersdorf Schaperstraße Bar jeder Vernunft Biergarten.jpg	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:Wilmersdorf_Schaperstra%C3%9Fe_Bar_jeder_Vernunft_Biergarten.jpg	wikidata-p18
Berghain / Panorama Bar	CONFIRMED	Heizkraftwerk-Ruedersdorfer-Str-Berlin-Friedrichshain-Berghain-Panorama-Bar-Lab-Oratory-06-2018b.jpg	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:Heizkraftwerk-Ruedersdorfer-Str-Berlin-Friedrichshain-Berghain-Panorama-Bar-Lab-Oratory-06-2018b.jpg	commons-title
Bi Nuu	REJECTED				commons-title
Cassiopeia	CONFIRMED	Berlin RAW-Gelande Cassiopeia.jpg	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:Berlin_RAW-Gelande_Cassiopeia.jpg	commons-title
Clash	REJECTED				commons-title
Club der Visionäre	CONFIRMED	3465765072	CC BY-SA 2.0	https://www.flickr.com/photos/12557689@N00/3465765072	openverse-flickr
Club OST	CONFIRMED	2024-07-26-Osthafen-Kraftwerk-Club-Ost.jpg	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:2024-07-26-Osthafen-Kraftwerk-Club-Ost.jpg	commons-title
Colosseum	CONFIRMED	Bundesarchiv Bild 183-46321-0001, Berlin, Schönberger Allee, Kino "Colosseum".jpg	CC BY-SA 3.0 de	https://commons.wikimedia.org/wiki/File:Bundesarchiv_Bild_183-46321-0001,_Berlin,_Sch%C3%B6nberger_Allee,_Kino_%22Colosseum%22.jpg	wikidata-p18
Columbia Theater	CONFIRMED	Kino Columbia.jpg	CC BY-SA 3.0	https://commons.wikimedia.org/wiki/File:Kino_Columbia.jpg	wikidata-p18
Columbiahalle	CONFIRMED	Sporthalle Columbiadamm.jpg	CC BY-SA 3.0	https://commons.wikimedia.org/wiki/File:Sporthalle_Columbiadamm.jpg	wikidata-p18
Cosmic Comedy Club	REJECTED				commons-nearby
Crack Bellmer	CONFIRMED	Crack bellmer foto.jpg	CC0	https://commons.wikimedia.org/wiki/File:Crack_bellmer_foto.jpg	commons-title
Der Weiße Hase	REJECTED				commons-nearby
Duncker Club	REJECTED				commons-nearby
Eschschloraque Rümschrümp	REJECTED				commons-nearby
Festsaal Kreuzberg	CONFIRMED	20230916 xl 1534-Festsaal Kreuzberg.jpg	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:20230916_xl_1534-Festsaal_Kreuzberg.jpg	wikidata-p18
Frannz Club	CONFIRMED	Berlin-Kulturbrauerei.jpg	Public domain	https://commons.wikimedia.org/wiki/File:Berlin-Kulturbrauerei.jpg	wikidata-p18
gART.n	REJECTED				commons-nearby
Golden Gate	REJECTED				commons-title
Gretchen	REJECTED				commons-title
Gärten der Welt	CONFIRMED	Erholungspark Marzahn 2009.jpg	CC BY-SA 3.0	https://commons.wikimedia.org/wiki/File:Erholungspark_Marzahn_2009.jpg	wikidata-p18
Havanna	REJECTED				commons-title
Heideglühen	REJECTED				commons-nearby
Heimathafen Neukölln	REJECTED	Logo heimathafen Neukoelln.jpg	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:Logo_heimathafen_Neukoelln.jpg	wikidata-p18
Hole 44	CONFIRMED	Neukölln-Hermannstr146-Kino.jpg	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:Neuk%C3%B6lln-Hermannstr146-Kino.jpg	commons-nearby
Humboldthain Club	CONFIRMED	Humboldthain Club, BerlinGesundbrunnen (2026).jpg	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:Humboldthain_Club,_BerlinGesundbrunnen_(2026).jpg	commons-title
Huxleys Neue Welt	REJECTED				commons-title
Junction Bar	REJECTED				commons-nearby
Kantine am Berghain	CONFIRMED	2024-08-07-Heizkraftwerk-Friedrichshain-Ruedersdorfer-Str-Kantine-am-Berghain-2.jpg	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:2024-08-07-Heizkraftwerk-Friedrichshain-Ruedersdorfer-Str-Kantine-am-Berghain-2.jpg	commons-title
Kater	REJECTED				commons-title
Klunkerkranich	CONFIRMED	18276788235	Public Domain Mark	https://www.flickr.com/photos/132866551@N06/18276788235	openverse-flickr
