name	home	description_licence	image_licence	licence_source_url	licence_note
ÆDEN	https://aedenberlin.com/	UNCLEAR	UNCLEAR	https://aedenberlin.com/imprint/	Read the linked legal page. Either silent on reuse, or the standard German copyright boilerplate that restates the statute (see CALIBRATION.md).
Admiralspalast	https://www.admiralspalast.theater/	UNCLEAR	UNCLEAR	https://www.atgentertainment.de/presse/downloadbereich/admiralspalast-berlin	"ATG press area. Terms restate the statute for its own press images, with the ""ausserhalb der Grenzen des Urheberrechtes"" carve-out."
Alte Kantine Kulturbrauerei	https://alte-kantine.eu/	UNCLEAR	UNCLEAR	https://alte-kantine.eu/impressum/	Read the linked legal page. Either silent on reuse, or the standard German copyright boilerplate that restates the statute (see CALIBRATION.md).
AMT	https://www.club-amt.berlin	UNCLEAR	UNCLEAR	https://www.club-amt.berlin/impressum	Read the linked legal page. Either silent on reuse, or the standard German copyright boilerplate that restates the statute (see CALIBRATION.md).
Arcanoa	https://www.ssi-media.com/arcanoa/veranst.htm	UNCLEAR	UNCLEAR	https://www.ssi-media.com/arcanoa/veranst.htm	No legal or press page linked from the homepage. Nothing found that decides it.
arkaoda	https://berlin.arkaoda.com/?/default/program	UNCLEAR	UNCLEAR	https://berlin.arkaoda.com/?/default/program	No legal or press page linked from the homepage. Nothing found that decides it.
Astra Kulturhaus	https://www.astra-berlin.de/	UNCLEAR	UNCLEAR	https://www.astra-berlin.de/pages/impressum	Read the linked legal page. Either silent on reuse, or the standard German copyright boilerplate that restates the statute (see CALIBRATION.md).
Badehaus	https://badehaus-berlin.com/	UNCLEAR	UNCLEAR	https://badehaus-berlin.com/datenschutzerklaerung/	Read the linked legal page. Either silent on reuse, or the standard German copyright boilerplate that restates the statute (see CALIBRATION.md).
Bar jeder Vernunft	https://www.bar-jeder-vernunft.de/de/programm/kalender.html	UNCLEAR	UNCLEAR	https://www.bar-jeder-vernunft.de/_Resources/Static/Packages/VIVOMEDIA.BarJederVernunftDe/js/index.css?bust=53a60bd87495	Read the linked legal page. Either silent on reuse, or the standard German copyright boilerplate that restates the statute (see CALIBRATION.md).
Berghain / Panorama Bar	https://www.berghain.berlin/de/program/	UNCLEAR	UNCLEAR	https://www.berghain.berlin/de/imprint/	Read the linked legal page. Either silent on reuse, or the standard German copyright boilerplate that restates the statute (see CALIBRATION.md).
